Epoch,Generation,Top Ant Fitness, Queen Fitness, Blocks Built
3,1,3.704094,1.09,0
3,2,3.490986,1.13,0
3,3,3.47687,1.148403,0
3,4,3.315113,1.194605,0
3,5,3.132748,1.203209,0
3,6,3.08233,1.232491,0
3,7,3.026299,1.225899,0
3,8,2.906299,1.205899,0
3,9,2.786299,1.185899,0
3,10,2.666299,1.165899,0
3,11,2.546299,1.145899,0
3,12,2.426299,1.125899,0
3,13,2.306299,1.105899,0
3,14,2.186299,1.085899,0
3,15,2.066299,1.065899,0
3,16,1.946299,1.045899,0
3,17,1.826299,1.025899,0
3,18,1.706299,1.005899,0
3,19,1.586299,0.9858989,0
3,20,1.466299,0.9658989,0
3,21,1.346299,0.9458989,0
3,22,1.226299,0.9258989,0
3,23,1.106299,0.9058989,0
3,24,0.9862988,0.8858989,0
3,25,0.8662989,0.8658989,0
3,26,0.7462988,0.8458989,0
3,27,0.6262988,0.8258989,0
3,28,0.5062988,0.8058989,0
3,29,0.3862988,0.7858989,0
3,30,0.2662988,0.7658989,0
3,31,0.1462988,0.7458989,0
3,32,0.02629883,0.7258989,0
3,33,-0.09370117,0.7058989,0
3,34,-0.2137012,0.6858989,0
3,35,-0.3337012,0.6658989,0
3,36,-0.4537012,0.6458989,0
3,37,-0.5737011,0.625899,0
3,38,-0.6937011,0.6058989,0
3,39,-0.8137012,0.5858989,0
3,40,-0.9337012,0.565899,0
3,41,-1.053701,0.5458989,0
3,42,-1.173701,0.5258989,0
3,43,-1.293701,0.505899,0
3,44,-1.413701,0.4858989,0
3,45,-1.533701,0.4658989,0
3,46,-1.653701,0.4458989,0
3,47,-1.773701,0.4258989,0
3,48,-1.893701,0.4058989,0
3,49,-2.013701,0.3858989,0
3,50,-2.073701,0.3758989,0
3,51,-2.073701,0.3758989,0
3,52,-2.073701,0.3758989,0
3,53,-2.073701,0.3758989,0
3,54,-2.073701,0.3758989,0
3,55,-1.547548,0.3758989,0
3,56,-1.547548,0.3758989,0
3,57,-1.547548,0.3758989,0
3,58,-1.547548,0.3758989,0
3,59,-1.547548,0.3758989,0
4,0,3.052119,1.05,0
4,1,2.763524,1.064868,0
4,2,2.530373,1.087477,0
4,3,2.387799,1.099706,0
4,4,2.46,1.128403,0
4,5,2.326574,1.118473,0
4,6,2.196165,1.098473,0
4,7,2.055798,1.078473,0
4,8,1.906138,1.058473,0
4,9,1.747858,1.038473,0
4,10,1.581624,1.018473,0
4,11,1.408079,0.9984732,0
4,12,1.22784,0.9784732,0
4,13,1.041484,0.9584732,0
4,14,0.8495477,0.9384732,0
4,15,0.6987942,0.9184732,0
4,16,0.5787942,0.8984732,0
4,17,0.4587942,0.8784732,0
4,18,0.3387943,0.8584732,0
4,19,0.2187943,0.8384732,0
4,20,0.09879425,0.8184732,0
4,21,-0.02120575,0.7984732,0
4,22,-0.1412057,0.7784732,0
4,23,-0.2612058,0.7584732,0
4,24,-0.3812057,0.7384732,0
4,25,-0.5012057,0.7184732,0
4,26,-0.4626282,0.7237211,0
4,27,-0.5826282,0.7037212,0
4,28,-0.7026282,0.6837212,0
4,29,-0.8226282,0.6637211,0
4,30,-1.001206,0.6384732,0
4,31,-1.121206,0.6184732,0
4,32,-1.241206,0.5984732,0
4,33,-1.361206,0.5784732,0
4,34,-1.481206,0.5584732,0
4,35,-1.601206,0.5384732,0
4,36,-1.721206,0.5184732,0
4,37,-1.841206,0.4984732,0
4,38,-1.961206,0.4784732,0
4,39,-2.081206,0.4584732,0
4,40,-2.201206,0.4384732,0
4,41,-2.321206,0.4184732,0
