Tick,AntID,MvFwd,MvBck,MvRit,MvLft,Eat,Dig,Hlth,Bld,Nil,Action,Fitness
3,4,-0.2554884,0.3458754,0.08912403,0.230727,-0.2688739,0.5087821,-0.5521317,-0.422195,0.3503857,Dig,4.638283
3,5,0.4906192,0.5475004,0.3876911,0.4567739,-0.04461812,-0.5486,-0.2827229,-0.5190557,0.6307298,Nothing,5.275574
3,6,0.489105,0.5453181,0.3870534,0.4573612,-0.04527843,-0.5442503,-0.279331,-0.5191021,0.630863,Nothing,5.097643
3,7,0.304621,0.4903631,0.317836,0.4118509,-0.1073012,-0.2736329,-0.3524456,-0.498396,0.5726213,Nothing,4.745677
3,8,0.4904219,0.5472497,0.3876477,0.4569115,-0.04464638,-0.5481718,-0.2824324,-0.5190331,0.6308572,Nothing,5.249825
3,9,0.492655,0.5492401,0.3877183,0.4550414,-0.04501548,-0.5509246,-0.2830387,-0.5195962,0.6284393,Nothing,5.492105
3,10,0.4902488,0.5470154,0.3875994,0.45702,-0.04468677,-0.5477533,-0.2821259,-0.5190208,0.6309427,Nothing,5.227126
3,11,0.4896792,0.5461764,0.3873695,0.4572739,-0.04492299,-0.5461192,-0.2808295,-0.5190321,0.6310322,Nothing,5.155997
3,12,0.490147,0.5468721,0.3875662,0.4570776,-0.04471761,-0.5474886,-0.281924,-0.5190171,0.6309806,Nothing,5.213865
3,13,0.4892738,0.5455649,0.387152,0.4573509,-0.0451666,-0.5448068,-0.2797703,-0.519078,0.6309329,Nothing,5.113105
3,14,0.4903509,0.5471553,0.3876292,0.4569575,-0.04466119,-0.5480052,-0.2823126,-0.5190271,0.6308954,Nothing,5.240518
3,15,0.4750739,0.5355281,0.3799645,0.4535519,-0.0526768,-0.5134158,-0.2691869,-0.5194893,0.6234389,Nothing,4.854288
3,16,0.4882333,0.5441613,0.3865183,0.4572814,-0.04588561,-0.5414554,-0.2772767,-0.5192372,0.6303655,Nothing,5.036865
3,17,0.491278,0.5482097,0.3877629,0.4562473,-0.04463862,-0.5496922,-0.2832693,-0.5191852,0.6301292,Nothing,5.356535
3,18,0.4934825,0.5496969,0.3876383,0.4543155,-0.04534707,-0.5513238,-0.2824403,-0.5198782,0.6273132,Nothing,5.55533
3,420,-0.1334711,-0.1031721,-0.1050427,0.5092405,-0.4946091,0.7836322,-0.1195466,0.779311,0.2340919,Dig,0.9704
 
ANTVOLUTION
Ant: 18 mated with Ant: 9
 
4,0,0.8282016,0.26037,0.1495487,0.3489457,-0.1211447,-0.1016256,0.6138686,-0.6860276,0.3775371,ForwardMove,4.817975
4,1,0.4842245,0.502455,0.1781978,0.4667877,-0.09890394,-0.3289222,-0.4175209,-0.464646,0.5970753,Nothing,5.34297
4,2,0.4809933,0.5056345,0.1780998,0.4660824,-0.1007153,-0.3303237,-0.4240581,-0.4620463,0.5956192,Nothing,5.417126
4,3,0.5797006,0.4510204,0.1823443,0.4599154,-0.06970879,-0.3212768,-0.226735,-0.5255337,0.5973769,Nothing,5.101137
4,4,0.3507383,0.03902926,0.01542622,0.3221111,-0.2276859,0.5959995,0.3386153,-0.5761777,0.312478,Dig,4.578383
4,5,0.5002479,0.4923286,0.1789593,0.4670406,-0.09287082,-0.3264139,-0.3878171,-0.4754574,0.5992762,Nothing,5.214015
4,6,0.7745028,0.3197849,0.1677306,0.3949433,-0.06943095,-0.2219321,0.3780119,-0.6515677,0.4937651,ForwardMove,5.046769
4,7,0.7046675,0.1828823,0.1098257,0.3500103,-0.1467482,0.1481811,0.543161,-0.6562052,0.3752098,ForwardMove,4.687714
4,8,0.507005,0.4887056,0.1793192,0.4667757,-0.09064154,-0.3259594,-0.3753741,-0.4797723,0.5996457,Nothing,5.189912
4,9,0.4806616,0.5060648,0.178093,0.4659461,-0.1009611,-0.3305386,-0.4247837,-0.4617413,0.595369,Nothing,5.428922
4,10,0.5166035,0.483736,0.1798293,0.4662501,-0.08758982,-0.3254876,-0.3574442,-0.4858314,0.5999472,Nothing,5.165862
4,11,0.5917643,0.4443942,0.1825677,0.4581459,-0.06675559,-0.3197079,-0.198607,-0.5332161,0.5959425,Nothing,5.095169
4,12,0.5233515,0.4802974,0.1801784,0.4658,-0.08550417,-0.3252019,-0.3445992,-0.4900678,0.600037,Nothing,5.153287
4,13,-0.2644967,0.3502028,0.1744761,0.416176,-0.05655991,-0.2599792,0.2328686,-0.6267362,0.5356922,Nothing,5.051763
4,14,0.5105654,0.4868456,0.1795094,0.4665982,-0.08949631,-0.3257688,-0.3687645,-0.4820266,0.5997839,Nothing,5.179914
4,15,0.8261996,0.2583601,0.1486164,0.3487516,-0.1219306,-0.09572966,0.6137946,-0.6856243,0.3768869,ForwardMove,4.797811
4,16,0.823541,0.2794653,0.1564936,0.3599708,-0.1045476,-0.1498609,0.5661925,-0.6807261,0.4093747,ForwardMove,4.98686
4,17,0.4878206,0.4997703,0.1783436,0.4670719,-0.09734964,-0.3280003,-0.4106891,-0.4672256,0.5979149,Nothing,5.295565
4,18,0.4794402,0.5082099,0.1780797,0.465087,-0.1022086,-0.3316818,-0.4277461,-0.4604116,0.5938755,Nothing,5.492888
4,420,-0.1334722,-0.1031731,-0.1050437,0.5092399,-0.4946088,0.7836325,-0.1168804,0.7793131,0.2340918,Dig,0.9605
